Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0, TIDL_DataLayer, 200, 4, 200, 200, 4, 200, 200, FRAME, 0, 0, 800, 800, 1, 0, 1,,,,,,,,, L2, DMA, 800, 800, 2, 1664, 0, 0, ,,,,,,,, DDR, CPU, 800, 800, 200, 10241024, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1, TIDL_DataConvertLayer, 200, 4, 200, 200, 4, 200, 200,  COL, 0, 0, 800, 800, 1, 0, 1,,,,,,,,, L2, DMA, 800, 800, 400, 320000, 0, 0, MSMC, CPU, 800, 800, 400, 320000, 0, 0, DDR, DMA, 800, 800, 200, 10241024, 0, 9c4400, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 2, TIDL_ReshapeLayer, 200, 4, 200, 64, 400, 400, 200,  COL, 0, 0, 800, 800, 1, 0, 1,,,,,,,,, L2, DMA, 800, 800, 200, 160000, 0, 0, ,,,,,,,, DDR, CPU, 160000, 160000, 64, 10241024, 0, 9c4400, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 3, TIDL_DataConvertLayer, 64, 400, 400, 400, 64, 400, 64,  COL, 0, 0, 3200, 160000, 50, 0, 50,,,,,,,,, L2, DMA, 409600, 409600, 1, 409600, 0, 0, MSMC, CPU, 25600, 25600, 16, 409600, 0, 0, DDR, DMA, 25600, 25600, 400, 10241024, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 4, TIDL_ReshapeLayer, 64, 400, 400, 4, 64, 1, 64,  COL, 0, 0, 160000, 160000, 64, 0, 64,,,,,,,,, L2, DMA, 160000, 160000, 2, 320000, 0, 0, ,,,,,,,, DDR, CPU, 64, 64, 4, 10241024, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 5, TIDL_TransposeLayer, 4, 64, 1, 200, 64, 4, 4,  COL, 0, 0, 64, 64, 1, 0, 1,,,,,,,,, L2, DMA, 64, 64, 8, 512, 0, 0, MSMC, CPU, 256, 256, 8, 2048, 0, 0, DDR, DMA, 256, 256, 200, 10241024, 0, 9c4400, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 6, TIDL_ReshapeLayer, 200, 64, 4, 200, 256, 200, 200,  COL, 0, 0, 256, 256, 1, 0, 1,,,,,,,,, L2, DMA, 256, 256, 200, 51200, 0, 0, ,,,,,,,, DDR, CPU, 51200, 51200, 200, 10241024, 0, 9c4400, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 7, TIDL_DataConvertLayer, 200, 256, 200, 256, 200, 200, 200,  COL, 0, 0, 51200, 51200, 50, 0, 50,,,,,,,,, L2, DMA, 51456, 51456, 8, 411648, 0, 0, ,,,,,,,, DDR, CPU, 40000, 40000, 256, 10241024, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 8, TIDL_DataConvertLayer, 256, 200, 200, 256, 200, 200, 256,  COL, 0, 0, 40000, 40000, 64, 0, 64,,,,,,,,, L2, DMA, 40000, 40000, 8, 320000, 0, 0, MSMC, CPU, 40256, 40200, 8, 322048, 0, 0, DDR, DMA, 40603, 40603, 256, 10395392, 202, a20436, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 9, TIDL_ConvolutionLayer, 256, 200, 200, 256, 200, 200, 256, ROW_L, 0, 0, 576, 40200, 70, 1, 70,,,,,,,,, L2, DMA, 1216, 1216, 256, 350464, 0, 0, MSMC, CPU, 576, 576, 256, 294912, 0, 0, DDR, DMA, 41472, 40603, 256, 10617856, 202, 36, ,,,,,,,, L2, DMA, 320, 257, 256, 81920, 0, 55900, MSMC, DMA_ONCE, 320, 257, 256, 81920, 0, 797180, 
